,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Continent
111,Réunion,391,, ,,40,351,3,437,,,,Africa
112,Nigeria,373,,11 ,,99,263,2,2,0.05,"5,000",24,Africa
113,San Marino,372,,36 ,,53,283,15,"10,963","1,061",846,"24,933",Europe
114,Mauritius,324,,9 ,,65,250,3,255,7,"8,279","6,510",Africa
115,Senegal,314,15,2 ,,190,122,1,19,0.1,,,Africa
116,Palestine,308,,2 ,,62,244,,60,0.4,"17,329","3,397",Asia
117,Georgia,306,6,3 ,,69,234,6,77,0.8,"5,027","1,260",Asia
118,Montenegro,288,5,4 ,,46,238,7,459,6,"2,869","4,568",Europe
119,Vietnam,267,1, ,,171,96,8,3,,"132,771","1,364",Asia
120,Isle of Man,256,2,4 ,2,151,101,13,"3,011",47,"2,175","25,578",Europe
121,DRC,254,13,21 ,1,21,212,,3,0.2,,,Africa
122,Sri Lanka,235,2,7 ,,63,165,1,11,0.3,"4,768",223,Asia
123,Kenya,225,9,10 ,1,53,162,2,4,0.2,"9,630",179,Africa
124,Mayotte,217,,3 ,,69,145,3,795,11,"1,500","5,498",Africa
125,Venezuela,197,8,9 ,,111,77,6,7,0.3,"225,009","7,913",South America
126,Faeroe Islands,184,, ,,166,18,,"3,766",,"5,677","116,182",Europe
127,Guatemala,180,13,5 ,,19,156,3,10,0.3,"1,134",63,North America
128,Paraguay,161,2,8 ,1,23,130,1,23,1,"3,640",510,South America
129,El Salvador,159,10,6 ,,30,123,2,25,0.9,"7,785","1,200",North America
130,Martinique,158,1,8 ,2,73,77,17,421,21,,,North America
131,Mali,148,4,13 ,,34,101,,7,0.6,,,Africa
132,Guadeloupe,145,,8 ,,67,70,13,362,20,,,North America
133,Brunei ,136,,1 ,,108,27,2,311,2,"10,579","24,182",Asia
134,Rwanda,134,, ,,49,85,,10,,"6,237",482,Africa
135,Gibraltar,129,, ,,104,25,1,"3,829",,"1,649","48,945",Europe
136,Cambodia,122,, ,,96,26,1,7,,"5,768",345,Asia
137,Congo,117,43,5 ,,10,102,,21,0.9,,,Africa
138,Trinidad and Tobago,114,1,8 ,,19,87,,81,6,"1,282",916,North America
139,Madagascar,110,2, ,,29,81,1,4,,,,Africa
140,Jamaica,105,,5 ,1,21,79,,35,2,"1,290",436,North America
141,Monaco,93,,1 ,,6,86,5,"2,370",25,,,Europe
142,Aruba,92,,1 ,1,32,59,1,862,9,"1,154","10,809",North America
143,Tanzania,88,35,3 ,,7,78,,1,0.05,,,Africa
144,French Guiana,86,, ,,51,35,1,288,,,,South America
145,Ethiopia,85,3,3 ,,15,67,,0.7,0.03,"4,988",43,Africa
146,Togo,81,4,3 ,,35,43,,10,0.4,"3,036",367,Africa
147,Gabon,80,23,1 ,,4,75,,36,0.4,,,Africa
148,Liechtenstein,79,,1 ,,55,23,,"2,072",26,900,"23,605",Europe
149,Myanmar,74,11,4 ,,2,68,,1,0.07,"2,836",52,Asia
150,Barbados,73,,5 ,,15,53,4,254,17,864,"3,007",North America
151,Somalia,60,,2 ,,2,56,2,4,0.1,,,Africa
152,Liberia,59,,6 ,,4,49,,12,1,,,Africa
153,Bermuda,57,,5 ,,30,22,3,915,80,416,"6,680",North America
154,Cabo Verde,56,45,1 ,,1,54,,101,2,,,Africa
155,French Polynesia,55,, ,,,55,1,196,,920,"3,275",Australia/Oceania
156,Uganda,55,, ,,12,43,,1,,"6,661",146,Africa
157,Cayman Islands,54,,1  ,,6,47,3,822,15,580,"8,825",North America
158,Sint Maarten,52,,9 ,,5,38,2,"1,213",210,134,"3,125",North America
159,Bahamas,49,,8 ,,6,35,1,125,20,,,North America
160,Guyana,48,1,6 ,,8,34,5,61,8,213,271,South America
161,Zambia,48,3,2 ,,30,16,1,3,0.1,"1,696",92,Africa
162,Macao,45,, ,,15,30,1,69,,,,Asia
163,Guinea-Bissau,43,, ,,,43,,22,,"1,500",762,Africa
164,Equatorial Guinea,41,, ,,4,37,,29,,854,609,Africa
165,Haiti,40,,3 ,,,37,,4,0.3,365,32,North America
166,Saint Martin,35,3,2 ,,13,20,5,905,52,,,North America
167,Benin,35,,1 ,,18,16,,3,0.08,,,Africa
168,Libya,35,,1 ,,9,25,,5,0.1,570,83,Africa
169,Eritrea,35,, ,,,35,,10,,,,Africa
170,Sudan,32,,5 ,,4,23,,0.7,0.1,,,Africa
171,Mongolia,30,, ,,5,25,,9,,"1,000",305,Asia
172,Syria,29,,2 ,,5,22,,2,0.1,,,Asia
173,Mozambique,28,, ,,2,26,,0.9,,762,24,Africa
174,Antigua and Barbuda,23,,2 ,,3,18,1,235,20,73,745,North America
175,Chad,23,, ,,2,21,,1,,,,Africa
176,Maldives,21,1, ,,16,5,,39,,"2,899","5,363",Asia
177,Angola,19,,2 ,,5,12,,0.6,0.06,,,Africa
178,Laos,19,, ,,1,18,,3,,"1,235",170,Asia
179,Zimbabwe,18,1,3 ,,1,14,,1,0.2,665,45,Africa
180,Belize,18,,2 ,,,16,1,45,5,567,"1,426",North America
181,New Caledonia,18,, ,,1,17,,63,,"2,608","9,135",Australia/Oceania
182,Malawi,16,,2 ,,,14,1,0.8,0.1,314,16,Africa
183,Nepal,16,, ,,1,15,,0.5,,"6,299",216,Asia
184,Dominica,16,, ,,8,8,,222,,345,"4,793",North America
185,Fiji,16,, ,,,16,,18,,,,Australia/Oceania
186,Namibia,16,, ,,3,13,,6,,362,142,Africa
187,Saint Lucia,15,, ,,11,4,,82,,319,"1,737",North America
188,Eswatini,15,, ,,8,7,,13,,714,615,Africa
189,Curaçao,14,,1 ,,10,3,,85,6,230,"1,402",North America
190,Grenada,14,, ,,,14,2,124,,92,818,North America
191,Saint Kitts and Nevis,14,, ,,,14,,263,,234,"4,399",North America
192,Botswana,13,,1  ,,,12,,6,0.4,"3,115","1,325",Africa
193,Sierra Leone,13,2, ,,,13,,2,,,,Africa
194,St. Vincent Grenadines,12,, ,,1,11,,108,,87,784,North America
195,CAR,11,, ,,4,7,,2,,,,Africa
196,Falkland Islands,11,, ,,1,10,,"3,161",,137,"39,368",South America
197,Greenland,11,, ,,11,0,,194,,912,"16,065",North America
198,Montserrat,11,, ,,1,10,1,"2,204",,36,"7,212",North America
199,Seychelles,11,, ,,,11,,112,,,,Africa
200,Suriname,10,,1  ,,6,3,,17,2,,,South America
201,Turks and Caicos,10,,1 ,,,9,,258,26,71,"1,834",North America
202,MS Zaandam,9,,2 ,,,7,,,,,,
203,Gambia,9,,1 ,,2,6,,4,0.4,281,116,Africa
204,Nicaragua,9,,1 ,,4,4,,1,0.2,,,North America
205,Vatican City,8,, ,,2,6,,"9,988",,,,Europe
206,Timor-Leste,8,2, ,,1,7,,6,,,,Asia
207,Mauritania,7,,1 ,,2,4,,2,0.2,593,128,Africa
208,St. Barth,6,, ,,4,2,,607,,,,North America
209,Western Sahara,6,, ,,,6,,10,,,,Africa
210,Burundi,5,,1 ,,,4,,0.4,0.08,,,Africa
211,Bhutan,5,, ,,2,3,,6,,"1,166","1,511",Asia
212,Sao Tome and Principe,4,, ,,,4,,18,,19,87,Africa
213,South Sudan,4,, ,,,4,,0.4,,,,Africa
214,Anguilla,3,, ,,1,2,,200,,,,North America
215,British Virgin Islands,3,, ,,2,1,,99,,,,North America
216,Caribbean Netherlands,3,, ,,,3,,114,,10,381,North America
217,Papua New Guinea,2,, ,,,2,,0.2,,72,8,Australia/Oceania
218,Saint Pierre Miquelon,1,, ,,,1,,173,,,,North America
219,Yemen,1,, ,,,1,,0.03,,,,Asia
220,Total:,"659,165","3,083","27,932",245,"50,934","580,299","14,578",,,,,North America
221,Total:,"956,663","19,375","85,762","2,044","253,970","616,931","29,014",,,,,Europe
222,Total:,"326,301","4,950","11,890",166,"158,647","155,764","6,450",,,,,Asia
223,Total:,"58,761","1,072","2,546",35,"21,654","34,561","1,197",,,,,South America
224,Total:,"7,924",67,72,2,"4,415","3,437",80,,,,,Australia/Oceania
225,Total:,"17,287",415,883,7,"3,449","12,955",178,,,,,Africa
226,Total:,721,,14,,639,68,7,,,,,
227,Total:,"2,026,822","28,962","129,099","2,499","493,708","1,404,015","51,504",260.0,16.6,,,All
