"TL","Territory Level and Typology","REG_ID","Region","VAR","Indicator","SEX","Gender","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","EL62","Ionian Islands","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,89.88,,
"2","Large regions (TL2)","RO21","North East","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,36488,,
"2","Large regions (TL2)","RO32","Bucharest - Ilfov","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,1312,,
"2","Large regions (TL2)","FRL","Provence-Alpes-Côte d’Azur","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,31236,,
"2","Large regions (TL2)","HU12","Pest","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,6281,,
"2","Large regions (TL2)","AT11","Burgenland","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,77.43,,
"2","Large regions (TL2)","AT22","Styria","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,76.31,,
"2","Large regions (TL2)","AT33","Tyrol","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,12511,,
"2","Large regions (TL2)","UKD","North West England","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,14107,,
"2","Large regions (TL2)","LV00","Latvia","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,63290,,
"2","Large regions (TL2)","LV00","Latvia","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,30.56,,
"2","Large regions (TL2)","HU33","Southern Great Plain","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,68.69,,
"2","Large regions (TL2)","NO04","Agder and Rogaland","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,24315,,
"2","Large regions (TL2)","UKN","Northern Ireland","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,135.96,,
"2","Large regions (TL2)","ITC1","Piedmont","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,25151,,
"2","Large regions (TL2)","ITC4","Lombardy","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,435.47,,
"2","Large regions (TL2)","PL52","Opole region","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,101.88,,
"2","Large regions (TL2)","PL61","Kuyavian-Pomerania","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,17576,,
"2","Large regions (TL2)","PT20","Autonomous Region of the Azores","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,105.8,,
"2","Large regions (TL2)","ES13","Cantabria","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,5268,,
"2","Large regions (TL2)","ES41","Castile and León","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,25.78,,
"2","Large regions (TL2)","CZ01","Prague","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,2669.1,,
"2","Large regions (TL2)","DK03","Southern Denmark","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,101.82,,
"2","Large regions (TL2)","FI1C","Southern Finland","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,31463,,
"2","Large regions (TL2)","EL61","Thessaly","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,51.81,,
"2","Large regions (TL2)","EL64","Central Greece","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,36.04,,
"2","Large regions (TL2)","RO11","North West","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,34010,,
"2","Large regions (TL2)","FR1","Île-de-France","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,11952,,
"2","Large regions (TL2)","FRC","Bourgogne-Franche-Comté","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,47784,,
"2","Large regions (TL2)","FRK","Auvergne-Rhône-Alpes","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,70319,,
"2","Large regions (TL2)","PL82","Podkarpacia","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,117.83,,
