,GCM,var,scenario,from_year,to_year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Country,Invalid country code. Three letters are required
2488,mri_cgcm2_3_2a,tas,b1,2020.0,2039.0,25.16796875,24.854675293000003,24.7224121094,25.1186523438,25.781463623,26.4903869629,26.887664794899997,27.2516174316,27.5863037109,27.4208068848,26.7641296387,25.992980956999997, Guadeloupe,
2489,ukmo_hadcm3,tas,a2,2020.0,2039.0,26.7730712891,26.5007629395,26.696014404299998,27.1058654785,27.5882263184,27.9519042969,27.983673095700002,28.0338439941,28.144470214800002,28.2218017578,27.9986572266,27.3718261719, Guadeloupe,
2490,ukmo_hadcm3,tas,b1,2020.0,2039.0,26.8549499512,26.5906677246,26.714660644499997,27.198516845700002,27.773864746100003,28.0233154297,28.152282714800002,28.2172546387,28.2802734375,28.235046386700002,27.916015625,27.3198242188, Guadeloupe,
2491,ukmo_hadgem1,tas,a2,2020.0,2039.0,24.614227294899997,23.8851013184,23.5913391113,23.647399902300002,24.0421447754,24.835235595700002,25.6871337891,26.533203125,27.001281738299998,27.1752624512,26.7971191406,25.6726989746, Guadeloupe,
2492,bccr_bcm2_0,tas,a2,2020.0,2039.0,24.69692993,24.37188721,24.5730896,25.06246948,25.61706543,26.19076538,26.68701172,26.88192749,27.20703125,27.25949097,26.65859985,25.50933838, Guam,
2493,bccr_bcm2_0,tas,b1,2020.0,2039.0,24.58331299,24.34588623,24.59359741,25.0607605,25.51535034,25.95959473,26.40209961,26.78939819,27.07977295,27.15490723,26.40206909,25.31634521, Guam,
2494,cccma_cgcm3_1,tas,a2,2020.0,2039.0,27.69595337,27.30712891,27.57821655,28.20391846,28.85424805,29.20489502,29.26956177,29.52120972,29.46228027,29.36776733,29.06188965,28.42663574, Guam,
2495,cccma_cgcm3_1,tas,b1,2020.0,2039.0,27.546173100000004,27.11721802,27.37252808,28.05603027,28.689575199999997,28.99777222,29.05285645,29.314758299999998,29.36239624,29.28817749,28.86975098,28.19552612, Guam,
2496,cnrm_cm3,tas,a2,2020.0,2039.0,26.15133667,25.85397339,25.87081909,26.2411499,26.76596069,27.02331543,27.27078247,27.51754761,27.59246826,27.86294556,27.61407471,26.858856199999998, Guam,
2497,cnrm_cm3,tas,b1,2020.0,2039.0,26.17736816,25.83963013,25.8878479,26.19815063,26.60317993,26.97070313,27.16641235,27.4229126,27.6368103,27.85357666,27.65289307,26.88900757, Guam,
2498,csiro_mk3_5,tas,a2,2020.0,2039.0,28.95443726,28.76437378,28.7840271,28.91299438,29.16949463,29.59814453,29.79904175,29.84005737,30.06869507,30.193572999999997,29.765625,29.25415039, Guam,
